"esm.IDnum.w1","esm.fileDate.w1","esm.PRO03.w1","esm.PRO02.w1"
40,20121028,1,1
40,20121028,2,2
40,20121028,3,3
40,20121028,4,4
40,20121029,1,1
40,20121029,2,2
40,20121029,3,3
40,20121029,4,4
40,20121030,1,1
40,20121030,2,2
40,20121030,3,3
40,20121030,4,4
40,20121031,1,1
40,20121031,2,2
40,20121031,3,3
40,20121031,4,4
40,20121101,1,1
40,20121101,2,2
40,20121101,3,3
40,20121101,4,4
40,20121102,1,1
40,20121102,2,2
40,20121102,3,3
40,20121102,4,4
40,20121103,1,1
40,20121103,2,2
40,20121103,3,3
40,20121103,4,4
40,20121104,1,1
40,20121104,2,2
40,20121104,3,3
40,20121104,4,4
40,20121105,1,1
40,20121105,2,2
40,20121105,3,3
40,20121105,4,4
40,20121106,1,1
40,20121106,2,2
41,20121102,1,6
41,20121102,2,2
41,20121102,4,4
41,20121103,2,2
41,20121103,3,3
41,20121104,3,3
41,20121104,4,4
41,20121105,1,1
41,20121105,4,4
41,20121107,1,1
41,20121107,3,3
41,20121107,4,4
41,20121108,1,1
41,20121108,2,2
41,20121110,1,1
41,20121110,2,2
41,20121110,3,3
41,20121111,3,3
41,20121112,2,2
41,20121112,3,3
41,20121112,4,4
41,20121114,1,1
41,20121114,2,2
41,20121115,1,1
44,20121106,2,6
44,20121106,4,4
44,20121107,1,1
44,20121107,2,2
44,20121107,3,3
44,20121107,4,4
44,20121108,1,1
44,20121108,3,3
44,20121108,4,4
44,20121109,1,1
44,20121109,2,2
44,20121109,4,4
44,20121110,2,2
44,20121110,3,3
44,20121110,4,4
44,20121111,1,1
44,20121111,2,2
44,20121111,3,3
44,20121111,4,4
44,20121112,1,1
44,20121112,4,4
44,20121113,2,2
44,20121113,3,3
44,20121113,4,4
44,20121114,1,1
44,20121114,3,3
44,20121114,4,4
44,20121115,1,1
44,20121115,2,2
44,20121116,2,2
44,20121116,3,3
44,20121116,4,4
44,20121117,2,2
44,20121117,3,3
44,20121117,4,4
44,20121118,1,1
44,20121118,2,2
44,20121118,3,3
44,20121118,4,4
44,20121119,1,1
44,20121119,2,2
45,20121109,2,6
45,20121109,4,4
45,20121110,1,1
45,20121110,2,2
45,20121110,3,3
45,20121110,4,4
45,20121111,1,1
45,20121111,2,2
45,20121111,3,3
45,20121111,4,4
45,20121112,1,1
45,20121112,2,2
45,20121112,3,3
45,20121112,4,4
45,20121113,1,1
45,20121113,2,2
45,20121113,3,3
45,20121113,4,4
45,20121114,1,1
45,20121114,2,2
45,20121114,3,3
45,20121114,4,4
45,20121115,1,1
45,20121115,2,2
45,20121115,4,4
45,20121116,2,2
45,20121116,3,3
45,20121116,4,4
45,20121117,1,1
45,20121117,2,2
45,20121117,3,3
45,20121117,4,4
45,20121118,1,1
45,20121118,2,2
45,20121118,3,3
45,20121118,4,4
45,20121119,1,1
45,20121119,2,2
45,20121119,3,3
45,20121119,4,4
45,20121120,1,1
45,20121120,2,2
45,20121120,3,3
45,20121120,4,4
46,20121102,2,6
46,20121103,2,2
46,20121104,3,3
46,20121105,1,1
46,20121105,2,2
46,20121105,3,3
46,20121107,3,3
46,20121108,1,1
46,20121108,3,3
46,20121110,2,2
46,20121111,1,1
46,20121111,2,2
46,20121112,1,1
46,20121112,2,2
46,20121112,4,4
46,20121114,1,1
46,20121114,3,3
47,20121110,1,6
47,20121110,2,2
47,20121110,3,3
47,20121110,4,4
47,20121111,2,2
47,20121111,3,3
47,20121111,4,4
47,20121112,1,1
47,20121112,2,2
47,20121112,3,3
47,20121112,4,4
47,20121113,3,3
47,20121114,1,1
47,20121114,2,2
47,20121115,2,2
47,20121115,3,3
47,20121115,4,4
47,20121117,2,2
47,20121117,3,3
47,20121117,4,4
47,20121118,4,4
47,20121119,3,3
47,20121124,1,1
48,20121106,1,6
48,20121106,2,2
48,20121106,3,3
48,20121106,4,4
48,20121107,1,1
48,20121107,2,2
48,20121107,3,3
48,20121107,4,4
48,20121108,1,1
48,20121108,2,2
48,20121108,3,3
48,20121108,4,4
48,20121109,1,1
48,20121109,2,2
48,20121109,3,3
48,20121109,4,4
48,20121110,1,1
48,20121110,2,2
48,20121110,3,3
48,20121110,4,4
48,20121111,2,2
48,20121111,3,3
48,20121112,1,1
48,20121112,2,2
48,20121112,3,3
48,20121112,4,4
48,20121113,1,1
48,20121113,2,2
48,20121114,1,1
48,20121114,2,2
48,20121114,3,3
48,20121114,4,4
48,20121115,1,1
48,20121115,2,2
48,20121116,3,3
48,20121117,1,1
48,20121118,2,2
48,20121118,3,3
49,20121106,1,6
49,20121106,3,3
49,20121106,4,4
49,20121107,1,1
49,20121107,2,2
49,20121107,3,3
49,20121107,4,4
49,20121108,2,2
49,20121108,3,3
49,20121108,4,4
49,20121109,1,1
49,20121109,2,2
49,20121109,3,3
49,20121109,4,4
49,20121111,3,3
49,20121112,2,2
49,20121114,4,4
49,20121115,2,2
49,20121116,2,2
49,20121117,3,3
51,20121109,3,6
51,20121109,4,4
51,20121110,1,1
51,20121110,2,2
51,20121110,3,3
51,20121110,4,4
51,20121111,1,1
51,20121111,2,2
51,20121111,3,3
51,20121111,4,4
51,20121112,1,1
51,20121112,2,2
51,20121112,3,3
51,20121112,4,4
51,20121113,1,1
51,20121113,2,2
51,20121113,3,3
51,20121113,4,4
51,20121114,1,1
51,20121114,2,2
51,20121114,3,3
51,20121114,4,4
51,20121115,1,1
51,20121115,2,2
51,20121115,3,3
51,20121115,4,4
51,20121116,2,2
51,20121116,3,3
51,20121116,4,4
51,20121117,1,1
51,20121117,2,2
51,20121117,3,3
51,20121117,4,4
51,20121118,1,1
51,20121118,2,2
51,20121118,3,3
51,20121118,4,4
51,20121119,1,1
51,20121119,2,2
51,20121119,3,3
51,20121119,4,4
51,20121120,1,1
51,20121120,2,2
51,20121120,3,3
51,20121120,4,4
52,20121113,2,6
52,20121113,3,3
52,20121113,4,4
52,20121114,1,1
52,20121114,2,2
52,20121114,3,3
52,20121114,4,4
52,20121115,1,1
52,20121115,2,2
52,20121115,3,3
52,20121115,4,4
52,20121116,2,2
52,20121116,3,3
52,20121116,4,4
52,20121117,3,3
52,20121117,4,4
52,20121118,2,2
52,20121118,3,3
52,20121118,4,4
52,20121119,1,1
52,20121119,2,2
52,20121119,3,3
52,20121119,4,4
52,20121120,1,1
52,20121120,2,2
52,20121120,3,3
52,20121120,4,4
52,20121124,4,4
52,20121125,2,2
52,20121125,3,3
52,20121125,4,4
52,20121126,1,1
52,20121126,2,2
52,20121126,3,3
52,20121126,4,4
52,20121127,1,1
52,20121127,2,2
52,20121127,3,3
53,20121109,3,6
53,20121109,3,3
53,20121110,1,1
53,20121110,2,2
53,20121110,3,3
53,20121110,4,4
53,20121111,1,1
53,20121111,2,2
53,20121111,3,3
53,20121111,4,4
53,20121112,1,1
53,20121112,2,2
53,20121112,3,3
53,20121112,4,4
53,20121113,1,1
53,20121113,2,2
53,20121113,3,3
53,20121113,4,4
53,20121114,2,2
53,20121114,3,3
53,20121115,1,1
53,20121115,2,2
53,20121115,3,3
53,20121115,4,4
53,20121116,2,2
53,20121117,1,1
53,20121117,2,2
53,20121117,3,3
53,20121118,1,1
53,20121118,2,2
53,20121118,4,4
53,20121119,1,1
53,20121119,3,3
53,20121119,4,4
53,20121120,3,3
53,20121120,4,4
54,20121109,1,6
54,20121109,3,3
54,20121109,4,4
54,20121110,1,1
54,20121110,2,2
54,20121110,3,3
54,20121110,4,4
54,20121111,1,1
54,20121111,2,2
54,20121111,3,3
54,20121111,4,4
54,20121112,1,1
54,20121112,2,2
54,20121112,3,3
54,20121112,4,4
54,20121113,1,1
54,20121113,2,2
54,20121113,3,3
54,20121113,4,4
54,20121114,1,1
54,20121114,2,2
54,20121114,3,3
54,20121114,4,4
54,20121115,1,1
54,20121115,2,2
54,20121115,3,3
54,20121115,4,4
54,20121116,2,2
54,20121116,3,3
54,20121116,4,4
54,20121117,1,1
54,20121117,2,2
54,20121117,3,3
54,20121117,4,4
54,20121118,1,1
54,20121118,2,2
54,20121118,3,3
54,20121118,4,4
54,20121119,1,1
54,20121119,2,2
54,20121119,3,3
54,20121119,4,4
54,20121120,1,1
54,20121120,2,2
54,20121120,3,3
56,20121130,2,6
56,20121203,2,2
56,20121203,3,3
56,20121203,4,4
56,20121204,1,1
56,20121204,2,2
56,20121204,3,3
56,20121204,4,4
56,20121205,2,2
56,20121205,3,3
56,20121205,4,4
56,20121206,1,1
56,20121206,2,2
56,20121206,3,3
56,20121206,4,4
56,20121207,1,1
56,20121207,2,2
56,20121207,3,3
56,20121208,4,4
56,20121209,2,2
56,20121209,4,4
56,20121210,1,1
56,20121210,2,2
56,20121210,3,3
56,20121210,4,4
56,20121211,1,1
56,20121211,2,2
56,20121211,3,3
56,20121211,4,4
56,20121212,1,1
56,20121212,2,2
56,20121212,3,3
56,20121212,4,4
57,20121116,1,6
57,20121116,2,2
57,20121116,4,4
57,20121117,1,1
57,20121117,2,2
57,20121117,3,3
57,20121117,4,4
57,20121118,4,4
57,20121119,1,1
57,20121119,2,2
57,20121119,3,3
57,20121119,4,4
57,20121120,1,1
57,20121120,2,2
57,20121120,3,3
57,20121120,4,4
57,20121125,1,1
57,20121125,2,2
57,20121125,3,3
57,20121126,1,1
57,20121126,2,2
57,20121126,3,3
57,20121127,1,1
57,20121128,1,1
57,20121128,2,2
57,20121128,4,4
59,20121113,1,6
59,20121113,2,2
59,20121113,3,3
59,20121113,4,4
59,20121114,1,1
59,20121114,2,2
59,20121114,3,3
59,20121115,1,1
59,20121115,2,2
59,20121115,3,3
59,20121116,2,2
59,20121116,4,4
59,20121117,4,4
59,20121119,1,1
59,20121119,2,2
59,20121119,3,3
59,20121119,4,4
59,20121120,1,1
59,20121120,2,2
59,20121120,3,3
59,20121120,4,4
59,20121125,4,4
59,20121126,1,1
59,20121126,3,3
59,20121127,1,1
59,20121127,2,2
59,20121127,3,3
60,20121109,1,6
60,20121109,2,2
60,20121109,3,3
60,20121109,4,4
60,20121110,2,2
60,20121110,3,3
60,20121110,4,4
60,20121111,1,1
60,20121111,2,2
60,20121111,3,3
60,20121111,4,4
60,20121112,1,1
60,20121112,2,2
60,20121112,3,3
60,20121112,4,4
60,20121113,1,1
60,20121113,2,2
60,20121113,3,3
60,20121113,4,4
60,20121114,2,2
60,20121114,3,3
60,20121114,4,4
60,20121115,1,1
60,20121115,2,2
60,20121115,3,3
60,20121115,4,4
60,20121116,2,2
60,20121117,2,2
60,20121118,4,4
60,20121119,1,1
60,20121119,4,4
60,20121120,1,1
60,20121120,2,2
61,20121109,2,6
61,20121109,3,3
61,20121110,1,1
61,20121110,3,3
61,20121110,4,4
61,20121111,1,1
61,20121111,2,2
61,20121111,3,3
61,20121111,4,4
61,20121112,1,1
61,20121112,2,2
